ID,Temp_Max_Avg_VEG,Temp_Min_Avg_VEG,Temp_Avg_VEG,Diurnal_Range_Avg_VEG,Sol_Ener_Accu_VEG,Temp_Max_34_Freq_VEG,Rain_Accu_VEG,Rain_10_Freq_VEG,Temp_Min_15_Freq_VEG,Temp_Max_Avg_REP,Temp_Min_Avg_REP,Temp_Avg_REP,Diurnal_Range_Avg_REP,Sol_Ener_Accu_REP,Temp_Max_34_Freq_REP,Rain_Accu_REP,Rain_10_Freq_REP,Temp_Min_15_Freq_REP,Temp_Max_Avg_LLEN,Temp_Min_Avg_LLEN,Temp_Avg_LLEN,Diurnal_Range_Avg_LLEN,Sol_Ener_Accu_LLEN,Temp_Max_34_Freq_LLEN,Rain_Accu_LLEN,Rain_10_Freq_LLEN,Temp_Min_15_Freq_LLEN,VARIEDAD,RENDIMIENTO_HA
ENA_2008a_208932,31.96924666,24.67834656,28.32379661,7.290900102,19740.19154,0.046511628,0,0,0,31.735,25.365,28.55,6.37,14797.38966,0.025,79.1,0.05,0,31.95428571,24.74285714,28.34857143,7.211428571,13605.8499,0,245.8,0.228571429,0,F733,6175
ENA_2009a_5471,32.1985971,24.15270544,28.17565127,8.045891655,19401.0247,0.047619048,16.2,0.023809524,0,31.62625501,24.33757732,27.98191616,7.288677682,18288.37543,0.025,64.8,0.025,0,32.55734783,25.24490554,28.90112669,7.312442291,15166.30888,0.147058824,96.2,0.088235294,0,F733,4000
ENA_2009a_5590,31.78131857,24.59006186,28.18569021,7.191256708,23345.7543,0.06,64.8,0.02,0,32.34427922,25.14384677,28.74406299,7.200432454,19297.69423,0.083333333,194.8,0.125,0,31.46670942,24.6,28.03335471,6.866709421,15758.54171,0.024390244,300.2,0.219512195,0,F733,2687.5
ENA_2009a_5614,32.02727273,24.12758247,28.0774276,7.899690258,19967.60075,0.045454545,81,0.045454545,0,31.94535349,24.54658356,28.24596853,7.398769936,20221.92174,0.069767442,0,0,0,32.22638406,25.15491638,28.69065022,7.07146768,15163.35576,0.083333333,170.3,0.138888889,0,F733,3500
ENA_2009b_5471,32.68691944,25.18124225,28.93408085,7.505677194,17118.06995,0.11627907,79.1,0.069767442,0,32.45,24.245,28.3475,8.205,18472.85337,0.075,0,0,0,31.88132815,25.68151272,28.78142043,6.199815433,13464.63246,0.114285714,16.3,0,0,F733,4550
ENA_2010a_5471,32.66046512,25.66976744,29.16511628,6.990697674,17635.4084,0.11627907,82.2,0.046511628,0,32.74285714,25.22857143,28.98571429,7.514285714,16156.33313,0.238095238,163.2,0.095238095,0,31.48571429,24.30857143,27.89714286,7.177142857,12283.36754,0,334.5,0.371428571,0,F733,2992.5
ENA_2010a_5590,32.22926829,26.07934012,29.15430421,6.149928169,16780.75609,0.073170732,93.2,0.048780488,0,33.05,25.52,29.285,7.53,16021.49515,0.25,59.8,0.025,0,32.15757576,25.07878788,28.61818182,7.078787879,12032.44579,0.090909091,182.5,0.151515152,0,F733,3000
ENA_2010a_5614,32.10105648,25.11818182,28.60961915,6.982874664,18312.13397,0.136363636,4.8,0,0,32.10232558,26.01053361,29.05642959,6.091791975,17167.87435,0.069767442,122.9,0.069767442,0,33.36111111,25.52777778,29.44444444,7.833333333,14898.58747,0.277777778,76.8,0.027777778,0,F733,3125
ENA_2007a_203339,32.3627907,25.41540614,28.88909842,6.947384554,17449.90754,0.11627907,60.1,0.023255814,0,31.39,25.25606368,28.32303184,6.133936324,13625.86865,0.025,286.1,0.2,0,31.6555818,24.63932437,28.14745309,7.01625743,14408.5179,0,189.7,0.142857143,0,F473,5416.5
ENA_2007a_208932,32.47857143,25.1047619,28.79166667,7.373809524,18478.94896,0.166666667,0,0,0,31.99,25.27010269,28.63005135,6.719897309,15691.83277,0.05,176.2,0.1,0,31.42438159,25.08532069,28.25485114,6.339060898,11875.17956,0.029411765,242.7,0.205882353,0,F473,5980
ENA_2012a_5381,32.45121951,23.54634146,27.99878049,8.904878049,17399.78296,0.024390244,29.4,0.024390244,0,32.57,24.135,28.3525,8.435,16355.70415,0.05,3,0,0,31.50909091,24.71515152,28.11212121,6.793939394,11788.22827,0.060606061,197.8,0.060606061,0,F473,4550
ENA_2012a_5384,32.5075,23.51,28.00875,8.9975,16864.59635,0.025,29.4,0.025,0,32.58461538,24.21025641,28.3974359,8.374358974,16095.76987,0.051282051,3,0,0,31.47272727,24.7030303,28.08787879,6.76969697,11664.41009,0.060606061,197.8,0.060606061,0,F473,5785
ENA_2012a_5461,32.5075,23.51,28.00875,8.9975,16864.59635,0.025,29.4,0.025,0,32.56315789,24.18947368,28.37631579,8.373684211,15559.6057,0.052631579,3,0,0,31.50909091,24.71515152,28.11212121,6.793939394,11788.22827,0.060606061,197.8,0.060606061,0,F473,6565
ENA_2012a_5471,32.4675,23.53,27.99875,8.9375,16964.36875,0.025,29.4,0.025,0,32.56842105,24.08947368,28.32894737,8.478947368,15482.39138,0.052631579,3,0,0,31.58787879,24.71515152,28.15151515,6.872727273,11977.64937,0.060606061,197.8,0.060606061,0,F473,6600
ENA_2012a_5507,32.41190476,23.66190476,28.03690476,8.75,17684.51408,0.023809524,29.4,0.023809524,0,32.605,23.98,28.2925,8.625,16483.37881,0.05,3,0,0,31.54705882,24.72352941,28.13529412,6.823529412,12263.28808,0.058823529,197.8,0.058823529,0,F473,5785
ENA_2012a_5526,32.46585366,23.57073171,28.01829268,8.895121951,17441.68611,0.024390244,29.4,0.024390244,0,32.57,24.035,28.3025,8.535,16359.2598,0.05,3,0,0,31.6,24.70588235,28.15294118,6.894117647,12361.82403,0.058823529,197.8,0.058823529,0,F473,6565
ENA_2012a_5528,32.45121951,23.54634146,27.99878049,8.904878049,17399.78296,0.024390244,29.4,0.024390244,0,32.55384615,24.12820513,28.34102564,8.425641026,15823.53914,0.051282051,3,0,0,31.58787879,24.67878788,28.13333333,6.909090909,12020.67626,0.060606061,197.8,0.060606061,0,F473,4199
ENA_2012a_5532,32.46585366,23.57073171,28.01829268,8.895121951,17441.68611,0.024390244,29.4,0.024390244,0,32.57,24.035,28.3025,8.535,16359.2598,0.05,3,0,0,31.6,24.70588235,28.15294118,6.894117647,12361.82403,0.058823529,197.8,0.058823529,0,F473,4550
ENA_2012a_5577,32.43658537,23.56097561,27.99878049,8.875609756,17381.09191,0.024390244,29.4,0.024390244,0,32.575,24.095,28.335,8.48,16300.24475,0.05,3,0,0,31.58787879,24.67878788,28.13333333,6.909090909,12020.67626,0.060606061,197.8,0.060606061,0,F473,4498
ENA_2013a_5461,32.99111111,23.43555556,28.21333333,9.555555556,20351.63229,0.2,0,0,0,32.98604651,24.84651163,28.91627907,8.139534884,17112.55612,0.186046512,8.8,0,0,33.42777778,24.88055556,29.15416667,8.547222222,13728.52698,0.333333333,138.1,0.083333333,0,F473,5312.5
ENA_2013a_5471,32.74285714,24.44285714,28.59285714,8.3,16909.80308,0.166666667,8.8,0,0,33.42,24.9275,29.17375,8.4925,15560.34226,0.3,137,0.075,0,32.70588235,24.36470588,28.53529412,8.341176471,12591.15211,0.117647059,119.9,0.088235294,0,F473,7150
ENA_2013a_5532,33.31914894,25,29.15957447,8.319148936,18465.9383,0.234042553,4.9,0,0,32.94545455,24.61136364,28.77840909,8.334090909,16441.61972,0.227272727,208,0.113636364,0,33.02105263,24.12631579,28.57368421,8.894736842,14657.76404,0.263157895,159.8,0.052631579,0,F473,6566
ENA_2007a_208837,32.0744186,25.3456387,28.71002865,6.728779903,17253.75148,0.046511628,135.2,0.069767442,0,31.31572435,25.05606368,28.18589401,6.259660677,13828.61946,0.025,283.7,0.2,0,32.12429995,24.7878958,28.45609788,7.336404153,15449.09685,0.057142857,172.1,0.114285714,0,F2000,4485
ENA_2008a_208837,32.35158313,23.85442264,28.10300288,8.497160494,19280.30916,0.097560976,13,0.024390244,0,32.03788734,24.39400658,28.21594696,7.643880757,17713.52006,0.076923077,0,0,0,31.72727273,25.33333333,28.53030303,6.393939394,14657.86093,0.03030303,17.9,0,0,F2000,7475
ENA_2008b_203339,32.167963,23.77575226,27.97185763,8.392210738,18037.94084,0,7.6,0,0,32.23,24.23534462,28.23267231,7.994655382,18394.27724,0.05,78.2,0.05,0,31.63677059,24.3089145,27.97284255,7.327856096,15455.01343,0.029411765,2.8,0,0,F2000,5200
SACFA_2013B_5603_1012,32.85641026,24.22051282,28.53846154,8.635897436,17953.73396,0.179487179,0,0,0,33.14054054,24.47567568,28.80810811,8.664864865,15540.38863,0.162162162,0,0,0,33.6625,25.36875,29.515625,8.29375,12542.19612,0.4375,20,0.03125,0,F2000,4104
SACFA_2013B_5506_810,33.06086957,24.06521739,28.56304348,8.995652174,21173.88221,0.239130435,0,0,0,33.06363636,24.55909091,28.81136364,8.504545455,18321.21462,0.136363636,0,0,0,33.61621622,25.12432432,29.37027027,8.491891892,14845.21408,0.405405405,53,0.054054054,0,F2000,5000
